tmpl_xid,attribute,value
tmpl_000LO_0064,Size,29
tmpl_000LO_0064,Size,30
tmpl_000LO_0064,Size,31
tmpl_000LO_0064,Size,32
tmpl_000LO_0064,Size,33
tmpl_000LO_0064,Size,34
tmpl_000LO_0064,Size,35
tmpl_000LO_0064,Size,36
tmpl_000LO_0064,Size,38
tmpl_000LO_0064,Size,40
tmpl_000LO_0064,Size,42
tmpl_000LO_0064,Size,44
tmpl_000LO_0064,Inseam,28
tmpl_000LO_0064,Inseam,29
tmpl_000LO_0064,Inseam,30
tmpl_000LO_0064,Inseam,31
tmpl_000LO_0064,Inseam,32
tmpl_000LO_0064,Inseam,34
tmpl_000LO_0064,Inseam,36
tmpl_000LO_0064,Inseam,38
tmpl_000LO_0065,Size,28
tmpl_000LO_0065,Size,29
tmpl_000LO_0065,Size,30
tmpl_000LO_0065,Size,31
tmpl_000LO_0065,Size,32
tmpl_000LO_0065,Size,33
tmpl_000LO_0065,Size,34
tmpl_000LO_0065,Size,36
tmpl_000LO_0065,Size,38
tmpl_000LO_0065,Inseam,32
tmpl_000LP_0000,Size,28
tmpl_000LP_0000,Size,29
tmpl_000LP_0000,Size,30
tmpl_000LP_0000,Size,31
tmpl_000LP_0000,Size,32
tmpl_000LP_0000,Size,33
tmpl_000LP_0000,Size,34
tmpl_000LP_0000,Size,36
tmpl_000LP_0000,Size,38
tmpl_000LP_0000,Size,40
tmpl_000LP_0000,Inseam,30
tmpl_000LP_0000,Inseam,32
tmpl_000LP_0001,Size,28
tmpl_000LP_0001,Size,29
tmpl_000LP_0001,Size,30
tmpl_000LP_0001,Size,31
tmpl_000LP_0001,Size,32
tmpl_000LP_0001,Size,33
tmpl_000LP_0001,Size,34
tmpl_000LP_0001,Size,36
tmpl_000LP_0001,Size,38
tmpl_000LP_0001,Size,40
tmpl_000LP_0001,Inseam,30
tmpl_000LP_0001,Inseam,32
tmpl_000LP_0002,Size,28
tmpl_000LP_0002,Size,29
tmpl_000LP_0002,Size,30
tmpl_000LP_0002,Size,31
tmpl_000LP_0002,Size,32
tmpl_000LP_0002,Size,33
tmpl_000LP_0002,Size,34
tmpl_000LP_0002,Size,36
tmpl_000LP_0002,Size,38
tmpl_000LP_0002,Size,40
tmpl_000LP_0002,Inseam,30
tmpl_000LP_0002,Inseam,32
tmpl_000MI_0000,Size,23
tmpl_000MI_0000,Size,24
tmpl_000MI_0000,Size,25
tmpl_000MI_0000,Size,26
tmpl_000MI_0000,Size,27
tmpl_000MI_0000,Size,28
tmpl_000MI_0000,Size,29
tmpl_000MI_0000,Size,30
tmpl_000MJ_0000,Size,23
tmpl_000MJ_0000,Size,24
tmpl_000MJ_0000,Size,25
tmpl_000MJ_0000,Size,26
tmpl_000MJ_0000,Size,27
tmpl_000MJ_0000,Size,28
tmpl_000MJ_0000,Size,29
tmpl_000MJ_0000,Size,30
tmpl_000MJ_0000,Size,31
tmpl_000MJ_0000,Size,32
tmpl_000MJ_0000,Size,33
tmpl_000MJ_0000,Size,34
tmpl_000MJ_0001,Size,23
tmpl_000MJ_0001,Size,24
tmpl_000MJ_0001,Size,25
tmpl_000MJ_0001,Size,26
tmpl_000MJ_0001,Size,27
tmpl_000MJ_0001,Size,28
tmpl_000MJ_0001,Size,29
tmpl_000MJ_0001,Size,30
tmpl_000MJ_0001,Size,31
tmpl_000MJ_0001,Size,32
tmpl_000MJ_0001,Size,33
tmpl_000MJ_0001,Size,34
tmpl_000MJ_0002,Size,23
tmpl_000MJ_0002,Size,24
tmpl_000MJ_0002,Size,25
tmpl_000MJ_0002,Size,26
tmpl_000MJ_0002,Size,27
tmpl_000MJ_0002,Size,28
tmpl_000MJ_0002,Size,29
tmpl_000MJ_0002,Size,30
tmpl_000MJ_0002,Size,31
tmpl_000MJ_0002,Size,32
tmpl_000MJ_0002,Size,33
tmpl_000MJ_0002,Size,34
tmpl_000MJ_0002,Size,35
tmpl_000MJ_0002,Size,36
tmpl_000MJ_0004,Size,23
tmpl_000MJ_0004,Size,24
tmpl_000MJ_0004,Size,25
tmpl_000MJ_0004,Size,26
tmpl_000MJ_0004,Size,27
tmpl_000MJ_0004,Size,28
tmpl_000MJ_0004,Size,29
tmpl_000MJ_0004,Size,30
tmpl_000MJ_0004,Size,31
tmpl_000MJ_0004,Size,32
tmpl_000MJ_0004,Size,33
tmpl_000MJ_0004,Size,34
tmpl_000MJ_0008,Size,23
